line,character,dialogue,episode
79,BIGGS,"I know it s a long shot, but if I don t find them I ll do what I can on my own...  It s what we always talked about.  Luke, I m not going to wait for the Empire to draft me into service.  The Rebellion is spreading and I want to be on the right side - the side I believe in. ",IV
80,LUKE,And I m stuck here...,IV
81,BIGGS,I thought you were going to the Academy next term.  You ll get your chance to get off this rock.,IV
82,LUKE,Not likely!  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... they ve even raided the outskirts of Anchorhead.,IV
83,BIGGS,Your uncle could hold off a whole colony of Sand People with one blaster.,IV
84,LUKE,"I know, but he s got enough vaporators going to make the place pay off.  He needs me for just one more season.  I can t leave him now.",IV
85,BIGGS,"I feel for you, Luke, you re going to have to learn what seems to be important or what really is important.  What good is all your uncle s work if it s taken over by the Empire?...  You know they re starting to nationalize commerce in the central systems...it won t be long before your uncle is merely a tenant, slaving for the greater glory of the Empire.",IV
86,LUKE,It couldn t happen here.  You said it yourself.  The Empire won t bother with this rock.,IV
87,BIGGS,Things always change.,IV
88,LUKE,I wish I was going...  Are you going to be around long? ,IV
89,BIGGS,"No, I m leaving in the morning...",IV
90,LUKE,Then I guess I won t see you.,IV
91,BIGGS,Maybe someday...  I ll keep a lookout.,IV
92,LUKE,"Well, I ll be at the Academy next season... after that who knows.  I won t be drafted into the Imperial Starfleet that s for sure...  Take care of yourself, you ll always be the best friend I ve got.",IV
93,BIGGS,"So long, Luke.",IV
94,THREEPIO,Artoo-Detoo!  It s you!  It s you!,IV
95,FIRST TROOPER,Someone was in the pod.  The tracks go off in this direction. ,IV
96,SECOND TROOPER,"Look, sir - droids.",IV
97,THREEPIO,Wake up!  Wake up!,IV
98,THREEPIO,We re doomed.,IV
99,THREEPIO,Do you think they ll melt us down?,IV
100,THREEPIO,Don t shoot!  Don t shoot!  Will this never end?,IV
101,BERU,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce.",IV
102,LUKE,It looks like we don t have much of a choice but I ll remind him.,IV
103,OWEN,I have no need for a protocol droid.,IV
104,THREEPIO,Sir - not in an environment such as this - that s why I ve also been programmed for over thirty secondary functions that...,IV
105,OWEN,What I really need is a droid that understands the binary languages of moisture vaporators.,IV
106,THREEPIO,Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...,IV
107,OWEN,Do you speak Bocce?,IV
108,THREEPIO,"Of course I can, sir.  It s like a second language for me...  I m as fluent in Bocce...",IV
109,OWEN,All right; shut up! I ll take this one.,IV
110,THREEPIO,"Shutting up, sir.",IV
111,OWEN,"Luke, take these two over to the garage, will you?  I want you to have both of them cleaned up before dinner.",IV
112,LUKE,But I was going into Toshi Station to pick up some power converters...,IV
113,OWEN,"You can waste time with your friends when your chores are done.  Now, come on, get to it!",IV
114,LUKE,"All right, come on!  And the red one, come on.  Well, come on, Red, let s go.",IV
115,LUKE,Uncle Owen...,IV
116,OWEN,Yeah?,IV
117,LUKE,This R2 unit has a bad motivator.  Look!,IV
118,OWEN,"Hey, what re you trying to push on us?",IV
119,THREEPIO,"Excuse me, sir, but that R2 unit is in prime condition.  A real bargain.",IV
120,LUKE,Uncle Owen...,IV
121,OWEN,Yeah?,IV
122,LUKE,What about that one?,IV
123,OWEN,What about that blue one?  We ll take that one.,IV
124,LUKE,"Yeah, take it away.",IV
125,THREEPIO,"Uh, I m quite sure you ll be very pleased with that one, sir.  He really is in first-class condition.  I ve worked with him before.  Here he comes.",IV
126,LUKE,"Okay, let s go.",IV
127,THREEPIO,"Now, don t forget this!  Why I should stick my neck out for you is quite beyond my capacity!",IV
128,THREEPIO,"Thank the maker!  This oil bath is going to feel so good.  I ve got such a bad case of dust contamination, I can barely move!",IV
129,LUKE,"It just isn t fair.  Oh, Biggs is right.  I m never gonna get out of here!",IV
130,THREEPIO,Is there anything I might do to help? ,IV
131,LUKE,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!",IV
132,THREEPIO,"I don t think so, sir.  I m only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I m not even sure which planet I m on.",IV
133,LUKE,"Well, if there s a bright center to the universe, you re on the planet that it s farthest from.",IV
134,THREEPIO,"I see, sir.",IV
135,LUKE,"Uh, you can call me Luke.",IV
136,THREEPIO,"I see, sir Luke.",IV
137,LUKE,Just Luke.,IV
138,THREEPIO,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo.",IV
139,LUKE,Hello.,IV
140,LUKE,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.,IV
141,THREEPIO,"With all we ve been through, sometimes I m amazed we re in as good condition as we are, what with the Rebellion and all.",IV
142,LUKE,You know of the Rebellion against the Empire?,IV
143,THREEPIO,"That s how we came to be in your service, if you take my meaning, sir.",IV
144,LUKE,Have you been in many battles?,IV
145,THREEPIO,"Several, I think.  Actually, there s not much to tell.  I m not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways.",IV
146,LUKE,"Well, my little friend, you ve got something jammed in here real good.  Were you on a starcruiser or...",IV
147,LEIA,"Help me, Obi-Wan Kenobi.  You remy only hope.",IV
148,LUKE,What s this?,IV
149,THREEPIO,What is what?!?  He asked you a question...What is that?,IV
150,LEIA,"Help me, Obi-Wan Kenobi.  You re my only hope.  Help me, Obi-Wan Kenobi.  You re my only hope.",IV
151,THREEPIO,"Oh, he says it s nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind.",IV
152,LUKE,Who is she?  She s beautiful.,IV
153,THREEPIO,"I m afraid I m not quite sure, sir.",IV
154,LEIA,"Help me, Obi-Wan Kenobi...",IV
155,THREEPIO,"I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to...",IV
156,LUKE,Is there more to this recording?,IV
157,THREEPIO,"Behave yourself, Artoo.  You re going to get us in trouble.  It s all right, you can trust him.  He s our new master.",IV
158,THREEPIO,"He says he s the property of Obi-Wan Kenobi, a resident of these parts.  And it s a private message for him.  Quite frankly, sir, I don t know what he s talking about.  Our last master was Captain Antilles, but with what we ve been through, this little R2 unit has become a bit eccentric.",IV
159,LUKE,Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?,IV
160,THREEPIO,"I beg your pardon, sir, but do you know what he s talking about?",IV
161,LUKE,"Well, I don t know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  He s kind of a strange old hermit.",IV
162,LUKE,I wonder who she is.  It sounds like she s in trouble.  I d better play back the whole thing.,IV
163,THREEPIO,"He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording.",IV
164,LUKE,"H m?  Oh, yeah, well, I guess you re too small to run away on me if I take this off!  Okay.",IV
165,LUKE,There you go.,IV
166,LUKE,"Well, wait a minute.  Where d she go?  Bring her back!  Play back the entire message.",IV
167,THREEPIO,been playing.  The one you re carrying inside your rusty innards! ,IV
168,AUNT BERU,Luke?  Luke!  Come to dinner!,IV
169,LUKE,"All right, I ll be right there, Aunt Beru.",IV
170,THREEPIO,"I m sorry, sir, but he appears to have picked up a slight flutter.",IV
171,LUKE,"Well, see what you can do with him.  I ll be right back.",IV
172,THREEPIO,Just you reconsider playing that message for him.,IV
173,THREEPIO,"No, I don t think he likes you at all.",IV
174,THREEPIO,"No, I don t like you either.",IV
175,LUKE,"You know, I think that R2 unit we bought might have been stolen.",IV
