line,character,dialogue,episode
87,JABBA,"It s too late for that, Solo. You may have been a good smuggler, but now you re Bantha fodder.",VI
88,HAN,Look...,VI
89,JABBA,Take him away!,VI
90,HAN,Jabba... I ll pay you triple! You re throwing away a fortune here. Don t be a fool!,VI
91,JABBA,Bring her to me.,VI
92,LEIA,We have powerful friends. You re gonna regret this...,VI
93,JABBA,I m sure.,VI
94,LEIA,Ugh!,VI
95,THREEPIO,"Ohhh, I can t bear to watch.",VI
96,HAN,"Chewie? Chewie, is that you?",VI
97,HAN,Ah! Chew--Chewie!,VI
98,HAN,"Wait. I can t see, pal. What s goin  on?",VI
99,HAN,"Luke? Luke s crazy. He can t even take care of himself, much less rescue anybody.",VI
100,HAN,"A...Jedi Knight? I--I m out of it for a little while, everybody gets delusions of grandeur.",VI
101,HAN,"I m all right, pal. I m all right.",VI
102,LUKE,I must speak with Jabba.,VI
103,LUKE,You will take me to Jabba now!,VI
104,LUKE,You serve your master well.,VI
105,LUKE,And you will be rewarded.,VI
106,THREEPIO,At last! Master Luke s come to rescue me.,VI
107,BIB,Master.,VI
108,BIB,"...Luke Skywalker, Jedi Knight.",VI
109,JABBA,I told you not to admit him.,VI
110,LUKE,I must be allowed to speak.,VI
111,BIB,He must be allowed to speak.,VI
112,JABBA,You weak-minded fool! He s using an old Jedi mind trick.,VI
113,LUKE,You will bring Captain Solo and the Wookiee to me.,VI
114,JABBA,"Your mind powers will not work on me, boy.",VI
115,LUKE,"Nevertheless, I m taking Captain Solo and his friends. You can either profit by this... or be destroyed! It s your choice. But I warn you not to underestimate my powers.",VI
116,THREEPIO,"Master Luke, you re standing on...",VI
117,JABBA,"There will be no bargain, young Jedi. I shall enjoy watching you die.",VI
118,JABBA,Bascka!,VI
119,THREEPIO,"Oh, no! The Rancor!",VI
120,JABBA,Bring me Solo and the Wookiee. They will all suffer for this outrage.,VI
121,LUKE,Han!,VI
122,HAN,Luke!,VI
123,LUKE,Are you all right?,VI
124,HAN,"Fine. Together again, huh?",VI
125,LUKE,Wouldn t miss it.,VI
126,HAN,How are we doing?,VI
127,LUKE,The same as always.,VI
128,HAN,"That bad, huh? Where s Leia?",VI
129,LEIA,I m here.,VI
130,THREEPIO,"Oh, dear. His High Exaltedness, the great Jabba the Hutt, has decreed that you are to be terminated immediately.",VI
131,HAN,"Good, I hate long waits.",VI
132,THREEPIO,"You will therefore be taken to the Dune Sea and cast into the pit of Carkoon, the nesting place of the all-powerful Sarlacc.",VI
133,HAN,Doesn t sound so bad.,VI
134,THREEPIO,"In his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years.",VI
135,HAN,"On second thought, let s pass on that, huh?",VI
136,LUKE,"You should have bargained, Jabba. That s the last mistake you ll ever make.",VI
137,HAN,"I think my eyes are getting better. Instead of a big dark blur, I see a big light blur.",VI
138,LUKE,"There s nothing to see. I used to live here, you know.",VI
139,HAN,"You re gonna die here, you know. Convenient.",VI
140,LUKE,Just stick close to Chewie and Lando. I ve taken care of everything.,VI
141,HAN,Oh... great!,VI
142,JABBA,Soon you will learn to appreciate me.,VI
143,THREEPIO,"Oh, I m terribly sor... Artoo! What are you doing here?",VI
144,THREEPIO,"Well, I can see you re serving drinks, but this place is dangerous. They re going to execute Master Luke and, if we re not careful, us too!",VI
145,THREEPIO,Hmm.  I wish I had your confidence.,VI
146,THREEPIO,"Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy, the great Jabba the Hutt will now listen to your pleas.",VI
147,HAN,"Threepio, you tell that slimy piece of... worm-ridden filth he ll get no such pleasure from us. Right?",VI
148,LUKE,Jabba! This is your last chance. Free us or die.,VI
149,JABBA,Move him into position.,VI
150,JABBA,Put him in.,VI
151,LUKE,"Easy, Chewie.",VI
152,LANDO,Whoa! Whoa! Help!,VI
153,HAN,"Chewie, you okay? Where is he?",VI
154,HAN,"I m okay, pal.",VI
155,LANDO,Han! Chewie?,VI
156,HAN,Lando!,VI
157,HAN,Boba Fett?! Boba Fett?! Where?,VI
158,HAN,"Lando, grab it!",VI
159,LANDO,Lower it!,VI
160,HAN,I m trying!,VI
161,HAN,"Whoa! Whoa! Grab me, Chewie! I m slipping.",VI
162,HAN,Grab it! L--Lando. Grab!,VI
163,HAN,Grab it! Almost... You almost got it!,VI
164,LANDO,Hold it! Whoa!,VI
165,HAN,"Gently now. All... all right. Now easy, easy. Hold me, Chewie.",VI
166,HAN,"Chewie! Chewie, give me the gun. Don t move, Lando.",VI
167,LANDO,"No, wait! I thought you were blind!",VI
168,HAN,It s all right. Trust me. Don t move.,VI
169,LANDO,All right! A little higher! Just a little higher!,VI
170,HAN,"Chewie, Pull us up! Come on! Okay... up, Chewie, up!",VI
171,LEIA,Come on. We gotta get out of here quick.,VI
172,THREEPIO,"Not my eyes! Artoo, help! Quickly, Artoo. Oh! Ohhh! You beast!",VI
173,LUKE,Get the gun! Point it at the deck!,VI
174,LUKE,Point it at the deck!,VI
175,THREEPIO,"Artoo, where are we going? I couldn t possibly jump.",VI
176,LUKE,Come on!,VI
177,LUKE,Let s go! And don t forget the droids.,VI
178,LANDO,We re on our way.,VI
179,HAN,I don t know. All I can see is a lot of blowing sand!,VI
180,LEIA,That s all any of us can see.,VI
181,HAN,Then I guess I m getting better.,VI
182,HAN,"I ve got to hand it to you, kid, you were pretty good out there.",VI
183,LUKE,I had a lot of help. Think nothing of it.,VI
184,HAN,"No, I m thinking a lot about it. That carbon freeze was the closest thing to dead there is. And it wasn t just sleepin . It was a big wide awake nothing!",VI
185,LUKE,I ll see you back at the fleet.,VI
186,HAN,Why don t you leave that crate and come with us?,VI
187,LUKE,I have a promise I have to keep first... to an old friend.,VI
188,HAN,"Guess I owe you some thanks, too, Lando.",VI
189,LANDO,"Figured if I left you frozen like that you d just give me bad luck the rest of my life, so I might as well get you unfrozen sooner or later.",VI
190,LEIA,He means \ You re welcome.\ ,VI
191,LANDO,"Come on, let s get off this miserable dust ball.",VI
192,LUKE,I ll meet you back at the fleet.,VI
193,LEIA,Hurry. The Alliance should be assembled by now.,VI
194,LUKE,I will.,VI
195,HAN,"Hey, Luke, thanks. Thanks for comin  after me. Now I owe you one.",VI
196,LUKE,"That s right, Artoo. We re going to the  Dagobah system. I have a promise to keep...  to an old friend.",VI
197,EMPEROR,"Rise, my friend.",VI
198,VADER,The Death Star will be completed on schedule.,VI
199,EMPEROR,"You have done well, Lord Vader. And now I sense you wish to continue your search for young Skywalker.",VI
200,VADER,"Yes, my Master.",VI
201,EMPEROR,"Patience, my friend. In time he will seek you out. And when he does, you must bring him before me. He has grown strong. Only together can we turn him to the dark side of the Force.",VI
202,VADER,As you wish.,VI
203,EMPEROR,Everything is proceeding as I have foreseen.,VI
204,YODA,Hmm. That face you make. Look I so old to young eyes?,VI
205,LUKE,No... of course not.,VI
206,YODA,"I do, yes, I do!  Sick have I become. Old and weak.  When nine hundred years old you reach, look as good you will not. Hmm?",VI
207,YODA,"Soon will I rest. Yes, forever sleep. Earned it, I have.",VI
208,LUKE,"Master Yoda, you can t die.",VI
209,YODA,Strong am I with the Force... but not that strong! Twilight is upon me and soon night must fall. That is the way of things ... the way of the Force.,VI
210,LUKE,But I need your help. I ve come back to complete the training.,VI
211,YODA,No more training do you require. Already know you that which you need.,VI
212,LUKE,Then I am a Jedi?,VI
213,YODA,"Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Then, only then, a Jedi will you be. And confront him you will.",VI
214,LUKE,Master Yoda... is Darth Vader my father?,VI
215,YODA,Mmm... rest I need. Yes... rest.,VI
216,LUKE,"Yoda, I must know.",VI
217,YODA,Your father he is.,VI
218,YODA,"Told you, did he?",VI
219,LUKE,Yes.,VI
